ticker,name,sicsector,sicindustry,famaindustry,sector,industry,location
BAND,Bandwidth Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Infrastructure,North Carolina U.S.A
BANF,Bancfirst Corp,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,Oklahoma U.S.A
BANR,Banner Corp,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,Washington U.S.A
BANT,Bantek Inc,Manufacturing,Aircraft,Aircraft,Industrials,Aerospace & Defense,New Jersey U.S.A
BAP,Credicorp Ltd,Finance Insurance And Real Estate,Commercial Banks Nec,Banking,Financial Services,Banks - Regional - Latin America,Bermuda
BAR1,Banner Aerospace Inc,Wholesale Trade,Wholesale-Machinery Equipment & Supplies,Wholesale,Industrials,Industrial Distribution,Virginia U.S.A
BARE,Bare Escentuals Inc,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,Consumer Goods,Consumer Defensive,Household & Personal Products,California U.S.A
BARI,Bancorp Rhode Island Inc,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,Rhode Island U.S.A
BARR,Barringer Technologies Inc,Services,Services-Testing Laboratories,Business Services,Healthcare,Diagnostics & Research,New Jersey U.S.A
BARZ,5BARz International Inc,Manufacturing,Communications Equipment Nec,Electronic Equipment,Technology,Communication Equipment,California U.S.A
BARZ1,Barra Inc,Services,Services-Computer Programming Data Processing Etc.,Business Services,Technology,Internet Content & Information,California U.S.A
BAS,Basic Energy Services Inc,Mining,Oil & Gas Field Services Nec,Petroleum and Natural Gas,Energy,Oil & Gas Equipment & Services,Texas U.S.A
BASEA,Base Ten Systems Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,New Jersey U.S.A
BASI,Bioanalytical Systems Inc,Services,Services-Commercial Physical & Biological Research,Business Services,Healthcare,Diagnostics & Research,Indiana U.S.A
BATS,Bats Global Markets Inc,Finance Insurance And Real Estate,Security & Commodity Brokers Dealers Exchanges & Services,Trading,Financial Services,Asset Management,Kansas U.S.A
BATT1,Talisman Enterprise Inc,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,Electrical Equipment,Technology,Electronic Components,Ontario Canada
BAU,Bacou Usa Inc,Manufacturing,Ophthalmic Goods,Medical Equipment,Healthcare,Medical Instruments & Supplies,Rhode Island U.S.A
BAX,Baxter International Inc,Manufacturing,Surgical & Medical Instruments & Apparatus,Medical Equipment,Healthcare,Medical Instruments & Supplies,Illinois U.S.A
BAXS,Baxano Surgical Inc,Manufacturing,Surgical & Medical Instruments & Apparatus,Medical Equipment,Healthcare,Medical Devices,North Carolina U.S.A
BAXS1,Bruker Axs Inc,Manufacturing,X-Ray Apparatus & Tubes & Related Irradiation Apparatus,Medical Equipment,Healthcare,Diagnostics & Research,Wisconsin U.S.A
BAY1,Bay Networks Inc,Manufacturing,Computer Communications Equipment,Computers,Technology,Communication Equipment,California U.S.A
BAYB,Bay Bancshares Inc,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,Texas U.S.A
BB,BLACKBERRY Ltd,Manufacturing,Telephone & Telegraph Apparatus,Electronic Equipment,Technology,Communication Equipment,Ontario Canada
BBA,Bombay Co Inc,Retail Trade,Retail-Furniture Stores,Retail,Consumer Cyclical,Home Improvement Stores,Texas U.S.A
BBAR,Balance Bar Co,Wholesale Trade,Wholesale-Groceries General Line,Wholesale,Consumer Defensive,Food Distribution,California U.S.A
BBBB,Blackboard Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,District Of Columbia U.S.A
BBBY,Bed Bath & Beyond Inc,Retail Trade,Retail-Home Furniture Furnishings & Equipment Stores,Retail,Consumer Cyclical,Specialty Retail,New Jersey U.S.A
BBCA1,Bergen Brunswig Corp,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,Wholesale,Healthcare,Medical Distribution,California U.S.A
BBCP,Concrete Pumping Holdings Inc,Finance Insurance And Real Estate,Blank Checks,Trading,Industrials,Conglomerates,New York U.S.A
BBCZ,Bodisen Biotech Inc,Manufacturing,Agricultural Chemicals,Chemicals,Basic Materials,Agricultural Inputs,China
BBD,Bank Bradesco,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - Latin America,Brazil
BBDA,Bank Of Bermuda Ltd,Finance Insurance And Real Estate,Functions Related To Depository Banking Nec,Banking,Industrials,Business Services,Bermuda
BBDC,Barings BDC Inc,Finance Insurance And Real Estate,Finance Services,Banking,Financial Services,Credit Services,North Carolina U.S.A
BBDC1,Brantley Capital Corp,Finance Insurance And Real Estate,Investors Nec,Trading,Financial Services,Asset Management,New York U.S.A
BBEPQ,Breitburn Energy Partners LP,Mining,Crude Petroleum & Natural Gas,Petroleum and Natural Gas,Energy,Oil & Gas E&P,California U.S.A
BBG,Bill Barrett Corp,Mining,Crude Petroleum & Natural Gas,Petroleum and Natural Gas,Energy,Oil & Gas E&P,Colorado U.S.A
BBGI,Beasley Broadcast Group Inc,Transportation Communications Electric Gas And Sanitary Service,Radio Broadcasting Stations,Communication,Consumer Cyclical,Broadcasting - Radio,Florida U.S.A
BBHF,Barbers Hairstyling For Men & Women Inc,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,Wholesale,Healthcare,Medical Distribution,Minnesota U.S.A
BBLUQ,Blue Earth Inc,Manufacturing,Construction Machinery & Equip,Machinery,Industrials,Farm & Construction Equipment,Nevada U.S.A
BBND,BigBand Networks Inc,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,Electronic Equipment,Technology,Communication Equipment,California U.S.A
BBNK,Bridge Capital Holdings,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,California U.S.A
BBOX,Black Box Corp,Manufacturing,Computer Communications Equipment,Computers,Technology,Communication Equipment,Pennsylvania U.S.A
BBQZ,Barbeques Galore Ltd,Retail Trade,Retail-Retail Stores Nec,Retail,Consumer Cyclical,Specialty Retail,California U.S.A
BBR,Butler Manufacturing Co,Manufacturing,Prefabricated Metal Buildings & Components,Construction Materials,Industrials,Metal Fabrication,Missouri U.S.A
BBRC1,Burr Brown Corp,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Technology,Semiconductors,Arizona U.S.A
BBRG,Bravo Brio Restaurant Group Inc,Retail Trade,Retail-Eating  Places,Restaraunts Hotels Motels,Consumer Cyclical,Restaurants,Ohio U.S.A
BBSI,Barrett Business Services Inc,Services,Services-Help Supply Services,Business Services,Industrials,Staffing & Outsourcing Services,Washington U.S.A
BBSW,Broadbase Software Inc,Services,Services-Business Services Nec,Business Services,Industrials,Business Services,California U.S.A
BBT,Bb&T Corp,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,North Carolina U.S.A
BBU,Brookfield Business Partners LP,Construction,Construction - Special Trade Contractors,Construction,Industrials,Conglomerates,Bermuda
BBW,Build A Bear Workshop Inc,Retail Trade,Retail-Hobby Toy & Game Shops,Retail,Consumer Cyclical,Specialty Retail,Missouri U.S.A
BBX,BBX Capital Corp,Finance Insurance And Real Estate,Real Estate,Real Estate,Real Estate,Real Estate Services,Florida U.S.A
BBX1,Bbx Capital Corp,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,Florida U.S.A
BBY,Best Buy Co Inc,Retail Trade,Retail-Radio Tv & Consumer Electronics Stores,Retail,Consumer Cyclical,Specialty Retail,Minnesota U.S.A
BC,Brunswick Corp,Manufacturing,Engines & Turbines,Machinery,Consumer Cyclical,Leisure,Illinois U.S.A
BCAC,Bison Capital Acquisition Corp,Finance Insurance And Real Estate,Blank Checks,Trading,Industrials,Conglomerates,China
BCAM,Bcam International Inc,Manufacturing,In Vitro & In Vivo Diagnostic Substances,Pharmaceutical Products,Healthcare,Diagnostics & Research,New York U.S.A
BCAR,Bank of the Carolinas CORP,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,North Carolina U.S.A
BCBP,Bcb Bancorp Inc,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,New Jersey U.S.A
BCC,BOISE CASCADE Co,Wholesale Trade,Wholesale-Lumber & Other Construction Materials,Wholesale,Basic Materials,Lumber & Wood Production,Idaho U.S.A
BCDA,BioCardia Inc,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,Medical Equipment,Healthcare,Medical Devices,California U.S.A
BCDS,BCD Semiconductor Manufacturing Ltd,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Technology,Semiconductors,Finland
BCE,Bce Inc,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),Communication,Communication Services,Telecom Services,Quebec Canada
BCEI,Bonanza Creek Energy Inc,Mining,Crude Petroleum & Natural Gas,Petroleum and Natural Gas,Energy,Oil & Gas E&P,Colorado U.S.A
BCF1,Burlington Coat Factory Warehouse Corp,Retail Trade,Retail-Department Stores,Retail,Consumer Cyclical,Department Stores,New Jersey U.S.A
BCFN,Banner Central Finance Co,Finance Insurance And Real Estate,Finance Services,Banking,Financial Services,Credit Services,California U.S.A
BCGI,Boston Communications Group Inc,Transportation Communications Electric Gas And Sanitary Service,Radiotelephone Communications,Communication,Communication Services,Telecom Services,Massachusetts U.S.A
BCH,Bank Of Chile,Finance Insurance And Real Estate,Commercial Banks Nec,Banking,Financial Services,Banks - Regional - Latin America,New York U.S.A
BCICF,Bell Canada,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),Communication,Communication Services,Telecom Services,Quebec Canada
BCII,Bone Care International Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Wisconsin U.S.A
BCIS,Bancinsurance Corp,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,Ohio U.S.A
BCL1,Blc Financial Services Inc,Finance Insurance And Real Estate,Miscellaneous Business Credit Institution,Banking,Financial Services,Credit Services,New York U.S.A
BCLI,Brainstorm Cell Therapeutics Inc,Manufacturing,Biological Products (No Disgnostic Substances),Pharmaceutical Products,Healthcare,Biotechnology,New Jersey U.S.A
BCML,BayCom Corp,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,California U.S.A
BCO,Brinks Co,Transportation Communications Electric Gas And Sanitary Service,Arrangement Of Transportation Of Freight & Cargo,Transportation,Industrials,Security & Protection Services,Virginia U.S.A
BCOM,B Communications Ltd,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,Communication,Communication Services,Telecom Services,Israel
BCONQ,Beacon Power Corp,Transportation Communications Electric Gas And Sanitary Service,Electric Services,Utilities,Utilities,Utilities - Regulated Electric,Massachusetts U.S.A
BCOR,Blucora Inc,Services,Services-Computer Processing & Data Preparation,Business Services,Financial Services,Asset Management,Washington U.S.A
BCOV,Brightcove Inc,Services,Services-Computer Processing & Data Preparation,Business Services,Technology,Software - Application,Massachusetts U.S.A
BCOW,1895 Bancorp of Wisconsin Inc,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,Banking,Financial Services,Banks - Regional - US,Wisconsin U.S.A
BCPC,Balchem Corp,Manufacturing,Chemicals & Allied Products,Chemicals,Basic Materials,Chemicals,New York U.S.A
BCR,Bard C R Inc,Manufacturing,Surgical & Medical Instruments & Apparatus,Medical Equipment,Healthcare,Medical Devices,New Jersey U.S.A
BCRH,Blue Capital Reinsurance Holdings Ltd,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Reinsurance,Bermuda
BCRX,Biocryst Pharmaceuticals Inc,Manufacturing,Biological Products (No Disgnostic Substances),Pharmaceutical Products,Healthcare,Biotechnology,North Carolina U.S.A
BCS,Barclays Plc,Finance Insurance And Real Estate,Commercial Banks Nec,Banking,Financial Services,Banks - Global,United Kingdom
BCSB,BCSB Bancorp Inc,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,Maryland U.S.A
BCSF,Bain Capital Specialty Finance Inc,Finance Insurance And Real Estate,Investors Nec,Trading,Financial Services,Asset Management,Massachusetts U.S.A
BCSI,Blue Coat Systems Inc,Manufacturing,Computer Storage Devices,Computers,Technology,Data Storage,California U.S.A
BCST1,Broadcast Com Inc,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,Communication,Communication Services,Telecom Services,Texas U.S.A
BCTF,Bancorp 34 Inc,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,New Mexico U.S.A
BCTI,Bct International Inc,Wholesale Trade,Wholesale-Paper & Paper Products,Wholesale,Industrials,Business Equipment,Florida U.S.A
BCU,Borden Chemicals & Plastics Limited Partnership,Manufacturing,Plastic Materials Synth Resins & Nonvulcan Elastomers,Chemicals,Basic Materials,Chemicals,Louisiana U.S.A
BCYP,Blue Calypso Inc,Services,Services-Educational Services,Personal Services,Consumer Defensive,Education & Training Services,Texas U.S.A
BCYRA,Big City Radio Inc,Transportation Communications Electric Gas And Sanitary Service,Radio Broadcasting Stations,Communication,Consumer Cyclical,Broadcasting - Radio,New York U.S.A
BDAY,Celebrate Express Inc,Retail Trade,Retail-Misc General Merchandise Stores,Retail,Consumer Cyclical,Specialty Retail,Washington U.S.A
BDBD,Boulder Brands Inc,Manufacturing,Food And Kindred Products,Food Products,Consumer Defensive,Packaged Foods,Colorado U.S.A
BDC,Belden Inc,Manufacturing,Drawing & Insulating Of Nonferrous Wire,Steel Works Etc,Technology,Electronic Components,Missouri U.S.A
BDE1,Bois d Arc Energy Inc,Mining,Crude Petroleum & Natural Gas,Petroleum and Natural Gas,Energy,Oil & Gas E&P,Texas U.S.A
BDG1,Bandag Inc,Manufacturing,Tires & Inner Tubes,Automobiles and Trucks,Consumer Cyclical,Rubber & Plastics,Iowa U.S.A
BDGE,Bridge Bancorp Inc,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,New York U.S.A
BDGPA,Budget Group Inc,Services,Services-Auto Rental & Leasing (No Drivers),Personal Services,Industrials,Rental & Leasing Services,Florida U.S.A
BDI,Bayard Drilling Technologies Inc,Manufacturing,Oil & Gas Field Machinery & Equipment,Machinery,Energy,Oil & Gas Equipment & Services,Texas U.S.A
BDIC,Blow & Drive Interlock Corp,Manufacturing,Motor Vehicle Parts & Accessories,Automobiles and Trucks,Consumer Cyclical,Auto Parts,California U.S.A
BDJI,First Federal Bancorporation,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,Minnesota U.S.A
BDK,Black & Decker Corp,Manufacturing,Metalworkg Machinery & Equipment,Machinery,Industrials,Tools & Accessories,Maryland U.S.A
BDL,Flanigans Enterprises Inc,Retail Trade,Retail-Eating  Places,Restaraunts Hotels Motels,Consumer Cyclical,Restaurants,Florida U.S.A
BDLN,Brilliant Digital Entertainment Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,California U.S.A
BDMS,Birner Dental Management Services Inc,Services,Services-Health Services,Healthcare,Healthcare,Medical Care,Colorado U.S.A
BDN,Brandywine Realty Trust,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Office,Pennsylvania U.S.A
BDR,Blonder Tongue Laboratories Inc,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,Electronic Equipment,Technology,Communication Equipment,New Jersey U.S.A
BDRY1,Caring Products International Inc,Manufacturing,Miscellaneous Fabricated Textile Products,Apparel,,None,Nevada U.S.A
BDS,Bridgestreet Accommodations Inc,Services,Hotels & Motels,Restaraunts Hotels Motels,Consumer Cyclical,Resorts & Casinos,Ohio U.S.A
BDSI,Biodelivery Sciences International Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,North Carolina U.S.A
BDT1,Breed Technologies Inc,Manufacturing,Motor Vehicle Parts & Accessories,Automobiles and Trucks,Consumer Cyclical,Auto Parts,Florida U.S.A
BDX,Becton Dickinson & Co,Manufacturing,Surgical & Medical Instruments & Apparatus,Medical Equipment,Healthcare,Medical Instruments & Supplies,New Jersey U.S.A
BDY,Bradley Pharmaceuticals Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,New Jersey U.S.A
BDY1,Bindley Western Industries Inc,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,Wholesale,Healthcare,Medical Distribution,Indiana U.S.A
BE,Bloom Energy Corp,Manufacturing,Electrical Industrial Apparatus,Electrical Equipment,Utilities,Utilities - Independent Power Producers,California U.S.A
BEAM,Beam Inc,Manufacturing,Beverages,Beer & Liquor,Consumer Defensive,Beverages - Wineries & Distilleries,Illinois U.S.A
BEAM1,Summit Autonomous Inc,Manufacturing,Electromedical & Electrotherapeutic Apparatus,Medical Equipment,Healthcare,Medical Devices,Massachusetts U.S.A
BEAR,Vermont Teddy Bear Co Inc,Manufacturing,Dolls & Stuffed Toys,Recreation,Consumer Cyclical,Leisure,Vermont U.S.A
BEAS,Bea Systems Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,California U.S.A
BEAT,Biotelemetry Inc,Services,Services-Specialty Outpatient Facilities Nec,Healthcare,Healthcare,Diagnostics & Research,Pennsylvania U.S.A
BEAV,B/E Aerospace Inc,Manufacturing,Public Bldg & Related Furniture,Business Supplies,Industrials,Business Equipment,Florida U.S.A
BEBE,bebe stores inc,Manufacturing,Women'S Misses' And Juniors Outerwear,Apparel,Consumer Cyclical,Apparel Stores,California U.S.A
BEC,Beckman Coulter Inc,Manufacturing,Laboratory Analytical Instruments,Measuring and Control Equipment,Healthcare,Diagnostics & Research,California U.S.A
BECN,Beacon Roofing Supply Inc,Wholesale Trade,Wholesale-Lumber & Other Construction Materials,Wholesale,Basic Materials,Building Materials,Virginia U.S.A
BED,Bedford Property Investors Inc,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Diversified,California U.S.A
BEDU,Bright Scholar Education Holdings Ltd,Services,Services-Educational Services,Personal Services,Consumer Defensive,Education & Training Services,China
BEE,Strategic Hotels & Resorts Inc,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Diversified,Illinois U.S.A
BEEF,Western Beef Inc,Retail Trade,Retail-Grocery Stores,Retail,Consumer Defensive,Grocery Stores,New York U.S.A
BEIQ,Bei Technologies Inc,Manufacturing,Industrial Instruments For Measurement Display And Control,Measuring and Control Equipment,Technology,Scientific & Technical Instruments,California U.S.A
BEL,Belmond Ltd,Services,Hotels & Motels,Restaraunts Hotels Motels,Consumer Cyclical,Lodging,Bermuda
BELFA,Bel Fuse Inc,Manufacturing,Electronic Coils Transformers & Other Inductors,Electronic Equipment,Technology,Electronic Components,New Jersey U.S.A
BELM,Bell Microproducts Inc,Wholesale Trade,Wholesale-Electronic Parts & Equipment Nec,Wholesale,Technology,Electronics Distribution,California U.S.A
BEN,Franklin Resources Inc,Finance Insurance And Real Estate,Investment Advice,Trading,Financial Services,Asset Management,California U.S.A
BEOSZ,Be Inc,Services,Services-Computer Integrated Systems Design,Computers,Technology,Software - Application,California U.S.A
BEP,Brookfield Renewable Partners LP,Transportation Communications Electric Gas And Sanitary Service,Electric Services,Utilities,Utilities,Utilities - Independent Power Producers,Bermuda
BEQIF,Boardwalk Equities Inc,Finance Insurance And Real Estate,Operators Of Apartment Buildings,Real Estate,Real Estate,Real Estate - General,Alberta Canada
BERK,Berkshire Bancorp Inc,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,New York U.S.A
BERK1,Berkshire Energy Resources,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Distribution,Utilities,Utilities,Utilities - Regulated Gas,Massachusetts U.S.A
BERS,Beres Industries Inc,Manufacturing,Plastics Products Nec,Rubber and Plastic Products,Consumer Cyclical,Packaging & Containers,New Jersey U.S.A
BERW,Beringer Wine Estates Holdings Inc,Manufacturing,Beverages,Beer & Liquor,Consumer Defensive,Beverages - Wineries & Distilleries,California U.S.A
BERY,Berry Global Group Inc,Manufacturing,Plastics Products Nec,Rubber and Plastic Products,Consumer Cyclical,Packaging & Containers,Indiana U.S.A
BEST1,Best Software Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,Virginia U.S.A
BET,Bethlehem Corp,Manufacturing,Industrial Process Furnaces & Ovens,Machinery,,None,Pennsylvania U.S.A
BETM,American Wagering Inc,Services,Services-Miscellaneous Amusement & Recreation,Entertainment,Consumer Cyclical,Leisure,Nevada U.S.A
BETR,Amplify Snack Brands INC,Manufacturing,Food And Kindred Products,Food Products,Consumer Defensive,Packaged Foods,Texas U.S.A
BEV,Beverly Enterprises Inc,Services,Services-Skilled Nursing Care Facilities,Healthcare,Healthcare,Long-Term Care Facilities,Arkansas U.S.A
BEXP,Brigham Exploration Co,Mining,Crude Petroleum & Natural Gas,Petroleum and Natural Gas,Energy,Oil & Gas E&P,Texas U.S.A
BEZ,Baldor Electric Co,Manufacturing,Motors & Generators,Electrical Equipment,Industrials,Diversified Industrials,Arkansas U.S.A
BF.B,Brown Forman Corp,Manufacturing,Beverages,Beer & Liquor,Consumer Defensive,Beverages - Wineries & Distilleries,Kentucky U.S.A
BFAM,Bright Horizons Family Solutions Inc,Services,Services-Child Day Care Services,Personal Services,Consumer Cyclical,Personal Services,Massachusetts U.S.A
BFAM1,Bright Horizons Family Solutions Inc,Services,Services-Child Day Care Services,Personal Services,Consumer Cyclical,Personal Services,Massachusetts U.S.A
BFBC,Benjamin Franklin Bancorp Inc,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,Banking,Financial Services,Savings & Cooperative Banks,Massachusetts U.S.A
BFC,Bank First National Corp,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,Wisconsin U.S.A
BFD,Bostonfed Bancorp Inc,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,Massachusetts U.S.A
BFDI,Brekford Traffic Safety Inc,Manufacturing,Communications Equipment Nec,Electronic Equipment,Technology,Communication Equipment,Maryland U.S.A
BFED,Beacon Federal Bancorp Inc,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,New York U.S.A
BFEN,Bf Enterprises Inc,Finance Insurance And Real Estate,Land Subdividers & Developers (No Cemeteries),Real Estate,Real Estate,Real Estate - General,California U.S.A
BFFC,Big Foot Financial Corp,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,Illinois U.S.A
BFGC,Bullfrog Gold Corp,Mining,Metal Mining,Non-Metallic and Industrial Metal Mining,Basic Materials,Industrial Metals & Minerals,Colorado U.S.A
BFI,Browning Ferris Industries Inc,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,Almost Nothing,Industrials,Waste Management,Texas U.S.A
BFIN,BankFinancial CORP,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,Illinois U.S.A
BFLY,Bluefly Inc,Retail Trade,Retail-Catalog & Mail-Order Houses,Retail,Consumer Cyclical,Specialty Retail,New York U.S.A
BFNB,Beach First National Bancshares Inc,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,South Carolina U.S.A
BFO1,Bestfoods,Manufacturing,Canned Frozen & Preservd Fruit Veg & Food Specialties,Food Products,Consumer Defensive,Packaged Foods,New Jersey U.S.A
BFOH,Bancfirst Ohio Corp,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,Ohio U.S.A
BFRA,Biofrontera AG,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Germany
BFRE,Bluefire Renewables Inc,Manufacturing,Industrial Organic Chemicals,Chemicals,Basic Materials,Specialty Chemicals,California U.S.A
BFRE1,Be Free Inc,Services,Services-Computer Processing & Data Preparation,Business Services,Technology,Internet Content & Information,Massachusetts U.S.A
BFRM,Bioform Medical Inc,Manufacturing,Surgical & Medical Instruments & Apparatus,Medical Equipment,Healthcare,Medical Devices,California U.S.A
BFS,Saul Centers Inc,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Retail,Maryland U.S.A
BFSB,Brooklyn Federal Bancorp Inc,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,New York U.S.A
BFSB1,Bedford Bancshares Inc,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,Virginia U.S.A
BFSC,Bingham Financial Services Corp,Finance Insurance And Real Estate,Personal Credit Institutions,Banking,Financial Services,Credit Services,Michigan U.S.A
BFST,Business First Bancshares Inc,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,Louisiana U.S.A
BFTH,Bally Total Fitness Corp,Services,Services-Membership Sports & Recreation Clubs,Entertainment,Consumer Cyclical,Leisure,Illinois U.S.A
BFUN,Bam Entertainment Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,California U.S.A
BFX,Bfx Hospitality Group Inc,Manufacturing,Electronic Components Nec,Electronic Equipment,Technology,Electronic Components,Texas U.S.A
BG,Bunge LTD,Manufacturing,Fats & Oils,Food Products,Consumer Defensive,Farm Products,New York U.S.A
BGC,General Cable Corp,Manufacturing,Drawing & Insulating Of Nonferrous Wire,Steel Works Etc,Technology,Electronic Components,Kentucky U.S.A
BGC1,Bay State Gas Co,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Distribution,Utilities,Utilities,Utilities - Regulated Gas,Massachusetts U.S.A
BGCP,BGC Partners Inc,Finance Insurance And Real Estate,Security & Commodity Brokers Dealers Exchanges & Services,Trading,Financial Services,Capital Markets,New York U.S.A
BGEN,Biogen Inc,Manufacturing,Biological Products (No Disgnostic Substances),Pharmaceutical Products,Healthcare,Biotechnology,Massachusetts U.S.A
BGF,Big Flower Holdings Inc,Manufacturing,Commercial Printing,Business Services,Industrials,Business Services,New York U.S.A
BGFV,BIG 5 SPORTING GOODS Corp,Retail Trade,Retail-Miscellaneous Shopping Goods Stores,Retail,Consumer Cyclical,Specialty Retail,California U.S.A
BGG,Briggs & Stratton Corp,Manufacturing,Engines & Turbines,Machinery,Industrials,Diversified Industrials,Wisconsin U.S.A
BGH1,Buckeye GP Holdings LP,Transportation Communications Electric Gas And Sanitary Service,Pipe Lines (No Natural Gas),Transportation,Energy,Oil & Gas Midstream,Texas U.S.A
BGI,Birks Group Inc,Retail Trade,Retail-Jewelry Stores,Retail,Consumer Cyclical,Luxury Goods,Quebec Canada
BGI1,Besicorp Group Inc,Transportation Communications Electric Gas And Sanitary Service,Cogeneration Services & Small Power Producers,Almost Nothing,Utilities,Utilities - Diversified,New York U.S.A
BGLS,Manhattan Bagel Co Inc,Nonclassifiable,Non-Operating Establishments,,,None,Colorado U.S.A
BGMD,BG Medicine Inc,Manufacturing,In Vitro & In Vivo Diagnostic Substances,Pharmaceutical Products,Healthcare,Diagnostics & Research,Massachusetts U.S.A
BGMR,Bigmar Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Ohio U.S.A
BGNE,BeiGene Ltd,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Cayman Islands
BGO,Bema Gold Corp,Mining,Gold And Silver Ores,Precious Metals,Basic Materials,Gold,British Columbia Canada
BGPIQ,Borders Group Inc,Retail Trade,Retail-Miscellaneous Shopping Goods Stores,Retail,Consumer Cyclical,Specialty Retail,Michigan U.S.A
